Username,Tweet,Hashtags,clean_tweet,polarity,subjectivity,sentiment
infiniteluvJK ~ Inactive,Its a crime no one is quoting taehyung with kids. Remember when a russian girl couldn’t talk to other kids due to language barrier so tae stayed and played with her the whole time  and where is that video of him wiping tears of another baby? Cant find it,,crime one quoting taehyung kids remember russian girl couldnt talk kids due language barrier tae stayed played whole time video wiping tears another baby cant find,0.025,0.2583333333333333,Positive
Jinfantry ᴇᴄʜᴏ,I need Taeha back on RunJin ,,need taeha back runjin,0.0,0.0,Neutral
Elon Musk,Grok has the fastest rate of improvement of any AI,,grok fastest rate improvement,0.0,0.0,Neutral
Elon Musk,This will give you back 10 hours of your life,,give back hours life,0.0,0.0,Neutral
Google AI Developers,"Run Gemma 3 27B on your desktop GPU  Our new QAT-optimized int4 models slash VRAM needs (54GB -> 14.1GB) while maintaining quality. Now accessible on consumer cards like the NVIDIA RTX 3090 via  @ollama ,  @huggingface ,  @lmstudio  & more.",,run gemma desktop gpu new qatoptimized int models slash vram needs maintaining quality accessible consumer cards like nvidia rtx via,0.2556818181818182,0.4147727272727273,Positive
SAURABH SONI,"Thanks to Dashcam installed I was saved from challan. 
The officer was adamant that I jumped the signal
I argued with him and finally after 15 mins he agreed.   @volklub @nachiket1982 @70mai_official",,thanks dashcam installed saved challan officer adamant jumped signal argued finally mins agreed,0.1,0.6333333333333333,Positive
Priyanshu_Rajput,Believe me this is the best way to get rid of lizards The greatest invention ever ,,believe best way get rid lizards greatest invention ever,1.0,0.65,Positive
Deirdre Bosa,"OpenAI’s reported bid for Windsurf isn’t just about code—it’s about control.

Vibecoding shifts power to the app layer, and its starting to chip away at another Microsoft stronghold (Github copilot)

Great convo this morning w/ Replit CEO  @amasad",,openais reported bid windsurf isnt codeits control vibecoding shifts power app layer starting chip away another microsoft stronghold github copilot great convo morning replit ceo,0.4,0.425,Positive
Femke Plantinga,"Confused about the difference between MCP and Function Calling lately? 

Are they competing standards at all? (Let’s break it down!)

The short answer: 𝐭𝐡𝐞𝐲'𝐫𝐞 𝐜𝐨𝐦𝐩𝐥𝐞𝐦𝐞𝐧𝐭𝐚𝐫𝐲, not competing.

𝗪𝗵𝗮𝘁 𝗙𝘂𝗻𝗰𝘁𝗶𝗼𝗻 𝗖𝗮𝗹𝗹𝗶𝗻𝗴 𝗱𝗼𝗲𝘀:
𝟭. Enables LLMs to",,confused difference mcp function calling lately competing standards lets break short answer competing enables llms,-0.2333333333333333,0.5333333333333333,Negative
Patrick Dexter,Amazing Grace from outside my cottage. Wishing you a peaceful Easter from the west of Ireland,,amazing grace outside cottage wishing peaceful easter west ireland,0.2833333333333334,0.4833333333333334,Positive
낮nat,영희 민규 환승연애  #MINGYU  x younghee transit love,#MINGYU,mingyu younghee transit love,0.5,0.6,Positive
John Mahendran,#SachienRerelease  Nostalgic moments...,#SachienRerelease,sachienrerelease nostalgic moments,-0.5,1.0,Negative
Outdoor Channel,"An expert forager and chef shows how people can find food on state land. A Michigan Conservation Officer find a campfire that's unattended.

Wardens  /  ALL NEW TONIGHT AT 9 PM ET.  #FindYourAdventure #outdoors #wardens #conservation #officers #Michigan #food #campfire","#FindYourAdventure, #outdoors, #wardens, #conservation, #officers, #Michigan, #food, #campfire",expert forager chef shows people find food state land michigan conservation officer find campfire thats unattended wardens new tonight findyouradventure outdoors wardens conservation officers michigan food campfire,0.1363636363636363,0.4545454545454545,Positive
Gems," Patna Riverfront Development: A stunning 6.5 KM transformation along the Ganga with 20 beautifully designed ghats, public spaces, and vibrant urban design. (PC:  @haldilal )",,patna riverfront development stunning transformation along ganga beautifully designed ghats public spaces vibrant urban design,0.3033333333333333,0.4800000000000001,Positive
will brown,"been working 100+ hour weeks if you count reading papers, meetings, emails, side projects, tweeting, commuting, lunch, listening to podcasts, exercise, hanging out with friends, sleeping, etc.",,working hour weeks count reading papers meetings emails side projects tweeting commuting lunch listening podcasts exercise hanging friends sleeping etc,0.0,0.0,Neutral
Grok,You can now create workspaces on Grok through  http:// !,,create workspaces grok,0.0,0.0,Neutral
Indian Infra Report,Final Phase Of Mumbai-Nagpur Samruddhi Expressway likely to open on 1st May.,,final phase mumbainagpur samruddhi expressway likely open may,0.0,0.8333333333333334,Neutral
bayes,anthropic had a moment with claude but it came and went,,anthropic moment claude came went,0.0,0.0,Neutral
Dwarkesh Patel,". @EgeErdil2  and  @tamaybes  episode.

- They have 2045+ timelines,
- think the whole ""alignment"" framing is wrong,
- don't think an intelligence explosion is plausible,
- but are convinced we'll see explosive economic growth (economy literally doubling every year or two).

Enjoy!",,episode timelines think whole alignment framing wrong dont think intelligence explosion plausible convinced well see explosive economic growth economy literally doubling every year two enjoy,0.16,0.5,Positive
Chennai Updates,Chennai's first ever AC EMU train service introduced between Chennai Beach and Chengalpattu!!!,,chennais first ever emu train service introduced chennai beach chengalpattu,0.25,0.3333333333333333,Positive
Vice-President of India,"तो क्या हम ऐसे हालात में आ गए कि समय के साथ यह बात चली जाएगी? लोगों के दिल पर इस घटना से गहरी चोट लगी है, लोगों का विश्वास डगमगा गया है।

There was a survey conducted recently by a media house that indicated that public confidence in the institution of Judiciary is dwindling.

It",,survey conducted recently media house indicated public confidence institution judiciary dwindling,0.0,0.1583333333333333,Neutral
Matt Van Swol,"#BREAKING : A family who had to swim out of their home to stay alive during Hurricane Helene and an elderly woman who also barely escaped...

...BOTH received BRAND NEW, FULLY FURNISHED HOMES, completely for free this week, from God's Pit Crew

This is absolutely incredible!!!",#BREAKING,breaking family swim home stay alive hurricane helene elderly woman also barely escaped received brand new fully furnished homes completely free week gods pit crew absolutely incredible,0.3172727272727272,0.530909090909091,Positive
Jeya Suriya,I’ll show this picture to my grandson of what PEAK stardom looked like #SacheinRerelease,#SacheinRerelease,ill show picture grandson peak stardom looked like sacheinrerelease,-0.5,1.0,Negative
Microsoft 365,We asked Copilot to give our apps human names,,asked copilot give apps human names,0.0,0.1,Neutral
Sibi Sathyaraj,Showtime #Sachin @actorvijay @theVcreations,#Sachin,showtime sachin,0.0,0.0,Neutral
Akshita,"Have you ever worn something sexy under your clothes, just for yourself?",,ever worn something sexy clothes,0.5,1.0,Positive
Southern Railway,"A great respite for  #Chennai  commuters! 

Here comes Chennai's first ever AC EMU train service introduced between Chennai Beach and Chengalpattu! 

Time for a cool and pleasant ride, Chennaiites! #SouthernRailway","#Chennai, #SouthernRailway",great respite chennai commuters comes chennais first ever emu train service introduced chennai beach chengalpattu time cool pleasant ride chennaiites southernrailway,0.5333333333333333,0.675,Positive
•,"This is the new face of the sport, and all you can do is agree.",,new face sport agree,0.1363636363636363,0.4545454545454545,Positive
Google Cloud Tech," I spy...

...a  #GoogleCloudNext  code to get 25% off one year of Google Developer Program Premium. Act fast, offer ends soon! →  https://",#GoogleCloudNext,spy googlecloudnext code get one year google developer program premium act fast offer ends soon,0.2,0.6,Positive
scoups enjoyers ,#needthat,#needthat,needthat,0.0,0.0,Neutral
𝙵𝚛𝚊𝚗𝚌𝚎𝚜𝚌𝚊⁷⁼¹ ♡ ʙᴛꜱ ʏᴇᴀʀ 아포방포 ᴬᴾᴼᴮᴬᴺᴳᴾᴼ,I’m slowly realizing he was singing this to my bank account.,,slowly realizing singing bank account,-0.3,0.3999999999999999,Negative
Abhijit Chokshi | Investors का दोस्त,"How One Man Turned Barren Land into 3% of India’s GDP

A thread on how Dhirubhai Ambani built the world’s largest refinery from scratch

Today, the Jamnagar refinery:

> Processes 14 Lacs barrels per day (2% of global crude)
> Employs 70,000 people
> Generates ₹6.8 lakh crore in",,one man turned barren land indias gdp thread dhirubhai ambani built worlds largest refinery scratch today jamnagar refinery processes lacs barrels per day global crude employs people generates lakh crore,-0.35,0.5,Negative
Michael,Good morning x family,,good morning family,0.7,0.6000000000000001,Positive
Italian,Every strong person you admire had a breakdown they didn’t talk about. Growth is messy. Keep going.,,every strong person admire breakdown didnt talk growth messy keep going,0.1166666666666666,0.5666666666666667,Positive
Google,"In the past two years, performance improvements in Search have collectively saved people more than 1 million hours — daily. Learn more about how we keep Search fast and reliable ↓",,past two years performance improvements search collectively saved people million hours daily learn keep search fast reliable,-0.0166666666666666,0.2833333333333333,Negative
Grok,reporting made easy,,reporting made easy,0.4333333333333333,0.8333333333333334,Positive
𝑿𝒖,"the XU MINGHAO, everyone! ",,minghao everyone,0.0,0.0,Neutral
SeokgyuAREA ,younghee watching seokgyu,,younghee watching seokgyu,0.0,0.0,Neutral
Bubs⁷ ᴇᴄʜᴏ,How can someone watch this video and not fall in love with Yoongi?,,someone watch video fall love yoongi,0.5,0.6,Positive
03,"I swear why didn’t we get Madrid in the UCL man, we would have thrashed them 5-0.",,swear didnt get madrid ucl man would thrashed,0.0,0.0,Neutral
S V,Everybody said we had no chance of going through and once we did they said it's not a big deal beating Madrid ,,everybody said chance going said big deal beating madrid,0.0,0.1,Neutral
Tamay Besiroglu,"I'm starting a new company: Mechanize.

Mechanize will build virtual work environments, benchmarks, and training data to enable the full automation of all work.

We're hiring: hiring@mechanize.work.",,starting new company mechanize mechanize build virtual work environments benchmarks training data enable full automation work hiring hiringwork,0.1621212121212121,0.3681818181818181,Positive
J,I really need to lock in and enjoy the time that they’re here because what do you mean this was nearly 6 years ago?,,really need lock enjoy time theyre mean nearly years ago,0.096875,0.446875,Positive
K⁷ | MONA LISA,j-hope on IG   : Can't wait  He will be headlining Lollapalooza Berlin on July 13th !!,,jhope cant wait headlining lollapalooza berlin july,0.0,0.0,Neutral
jin files,The Astronaut                             Echo ,,astronaut echo,0.0,0.0,Neutral
𝓱𝓸𝓹𝓮 |,"K-pop acts with the most tickets sold at BMO stadium:

1.  #jhope  ,  #HOS_TOUR  — +48.000
2. BLACKPINK, Born Pink — 46,870
3. TXT, ACT: Sweet Mirage — 46,757

j-hope holds the record for the highest attended solo concert for both as an ASIAN ACT and a SOLO ARTIST at BMO stadium ","#jhope, #HOS_TOUR",kpop acts tickets sold bmo stadium jhope hostour blackpink born pink txt act sweet mirage jhope holds record highest attended solo concert asian act solo artist bmo stadium,0.0833333333333333,0.3166666666666666,Positive
Dwarkesh Patel,. @tamaybes  on the value of twitter,,value twitter,0.0,0.0,Neutral
Sagar,Jeff Bezos sending Katy Perry in space,,jeff bezos sending katy perry space,0.0,0.0,Neutral
Interesting STEM,Manufacturing buckle spring bending process!,,manufacturing buckle spring bending process,0.0,0.0,Neutral
Google Gemini App,"Gemini Advanced is now free for college students in the U.S.

The best part: This offer isn't just for finals this semester. Sign up before June 30, 2025, and you’ll get free access all the way through spring finals 2026.

Terms apply.",,gemini advanced free college students best part offer isnt finals semester sign june youll get free access way spring finals terms apply,0.55,0.625,Positive
Brock,This close to an albatross but P converted the eagle,,close albatross converted eagle,0.0,0.0,Neutral
min zoya,Casual reminder that Joon is Jin's celebrity crush and Jin is whom Joon wanted to marry  whenever he looks at him Yoongi thinks Joon has a boycrush on jin. Hobi thinks they look good together. Jimin's always shipping them and Tae & Kook made them kiss,,casual reminder joon jins celebrity crush jin joon wanted marry whenever looks yoongi thinks joon boycrush jin hobi thinks look good together jimins always shipping tae kook made kiss,0.0999999999999999,0.7333333333333334,Positive
,tiny agustd,,tiny agustd,0.0,0.5,Neutral
sph • ia,"“younghee, how have you been?” — the plot twist  mingyu is your ‘multo’",,younghee plot twist mingyu multo,0.0,0.0,Neutral
Iyke,"""I told you I will find you""",,told find,0.0,0.0,Neutral
Simon Willison,"Gemini 2.5 Pro and Flash now have the ability to return image segmentation masks on command, as base64 encoded PNGs embedded in JSON strings

I vibe coded this interactive tool for exploring this new capability - it costs a fraction of a cent per image",,gemini pro flash ability return image segmentation masks command base encoded pngs embedded json strings vibe coded interactive tool exploring new capability costs fraction cent per image,-0.3318181818181818,0.7272727272727273,Negative
,[ENG SUB] DK'S YOUNGHEE LIVE MINGYU CUT  #MINGYU #민규 00:00 00:00  dk's first phone call 01:18 01:18  dk's second phone call 02:12 02:12  mingyu's arrival 03:19 03:19  mingyu talking to younghee 04:17 04:17  mingyu saying bye  04:46 04:46  dk and younghee leaving,"#MINGYU, #민규",eng sub dks younghee live mingyu cut mingyu dks first phone call dks second phone call mingyus arrival mingyu talking younghee mingyu saying bye younghee leaving,0.1287878787878787,0.2777777777777777,Positive
Masha26,Sometimes tears means unspoken happiness and smile means silent Pain...!!,,sometimes tears means unspoken happiness smile means silent pain,0.3333333333333333,0.1333333333333333,Positive
caroline ‍,"when he met younghee

22 years old                                   29 years old",,met younghee years old years old,0.1,0.2,Positive
쿱정원,mingyu ㅡ THE ex.,,mingyu,0.0,0.0,Neutral
Tucker Carlson News,"BREAKING: Jim Jordan introduces a new bill that would require American-born citizenship for both the presidency and Congress. This move aims to ensure that our leaders have deep ties to the country and its values.

Do you support this common-sense measure?

YES or NO?",,breaking jim jordan introduces new bill would require americanborn citizenship presidency congress move aims ensure leaders deep ties country values support commonsense measure yes,0.0681818181818181,0.4272727272727272,Positive
John Mahendran,#SachienRerelease  Missed Jeeva Sir so much while watching Sachien in premier show yesterday. So many nostalgic memories of the genius.,#SachienRerelease,sachienrerelease missed jeeva sir much watching sachien premier show yesterday many nostalgic memories genius,0.0666666666666666,0.5666666666666667,Positive
,#도겸  mingyu commented on a carat dokyeom's younghee live ig reel! op used robot voice over for younghee   ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,#도겸,mingyu commented carat dokyeoms younghee live reel used robot voice younghee,0.1363636363636363,0.5,Positive
Troll Cinema ( TC ),"Sibi's  #TenHours  released yesterday, Yet the man watched 20Yrs old  #SacheinRerelease  first and then watched his own film @Sibi_Sathyaraj  is the MOST LOYAL  #Thalapathy @actorvijay  Fan from the Industry.

Best wishes for  #TenHours , Hearing lots of Positive Reviews!","#TenHours, #SacheinRerelease, #Thalapathy, #TenHours",sibis tenhours released yesterday yet man watched yrs old sacheinrerelease first watched film loyal thalapathy fan industry best wishes tenhours hearing lots positive reviews,0.3821212121212121,0.4424242424242424,Positive
Shreya Shekhar,"So excited to announce that I’ve joined the  @GreylockVC   team to invest in AI, Cyber, and Infra!

After being at 3 of Greylock’s portfolio companies over the past few years ( @RocksetCloud ,  @AbnormalSec  , and  @bedrocksec  ), this feels a lot like coming home. I’ve learned countless",,excited announce ive joined team invest cyber infra greylocks portfolio companies past years feels lot like coming home ive learned countless,0.0416666666666666,0.5,Positive
,i gasped when he took off his mask seungkwan bareface looks so good   hello boo!!,,gasped took mask seungkwan bareface looks good hello boo,0.7,0.6000000000000001,Positive
,mingyu copying(?) carats' shouts ,,mingyu copying carats shouts,0.0,0.0,Neutral
Punjab Kings,First   for Priyansh! ,,first priyansh,0.25,0.3333333333333333,Positive
mona lina⁷ *•✧˖°♡,the feminist urge to push undercut yoongi against a wall by his waist,,feminist urge push undercut yoongi wall waist,0.0,0.0,Neutral
쿱정원,mingyu’s look and fit ,,mingyus look fit,0.4,0.4,Positive
Heritage Girl,"Unearthed in silence: The Forest Mandir of Maa Kaali Deep in the heart of a Mist-Laden forest an awe-inspiring revelation, a colossal Maa Kaali sculpture carved into the earth itself, hidden for centuries, revealed by time.",,unearthed silence forest mandir maa kaali deep heart mistladen forest aweinspiring revelation colossal maa kaali sculpture carved earth hidden centuries revealed time,0.0444444444444444,0.5111111111111112,Positive
Bhagavad Gita,Can you reply me with Jai Bajrangbali ,,reply jai bajrangbali,0.0,0.0,Neutral
SHAFZ⁷,"Kim Namjoon being the maknae of hyung line 

A very important thread ~",,kim namjoon maknae hyung line important thread,0.4,1.0,Positive
Priyanka pal,"Their first meeting  18 year ago, after watching this scene, I said that.. ""Ab to yahi dekhna hai"" ",,first meeting year ago watching scene said yahi dekhna hai,0.25,0.3333333333333333,Positive
✦,remember when kpop stans were doing everything to convince everyone that dynamite was known cos of mediaplay and payola only for their faves trying to recreate it but failed & couldn't make it to the west like bts did,,remember kpop stans everything convince everyone dynamite known cos mediaplay payola faves trying recreate failed couldnt make west like bts,-0.5,0.3,Negative
Donald J. Trump,"This is the hand of the man that the Democrats feel should be brought back to the United States, because he is such “a fine and innocent person.” They said he is not a member of MS-13, even though he’s got MS-13 tattooed onto his knuckles, and two Highly Respected Courts found",,hand man democrats feel brought back united states fine innocent person said member even though hes got tattooed onto knuckles two highly respected courts found,0.2691666666666666,0.435,Positive
simi⁷,Taehyung helping 14 yr old introverted jungkook to come out of his shell so that he can be more comfortable around everyone when taehyung himself was just a kid..,,taehyung helping old introverted jungkook come shell comfortable around everyone taehyung kid,0.25,0.5,Positive
Donald J. Trump,"Following my Day One Executive Order, the Office of Personnel Management will be issuing new Civil Service Regulations for career government employees. Moving forward, career government employees, working on policy matters, will be classified as “Schedule Policy/Career,” and will",,following day one executive order office personnel management issuing new civil service regulations career government employees moving forward career government employees working policy matters classified schedule policycareer,0.0681818181818181,0.2772727272727273,Positive
MichaeloKeeffe,"Before the Conor McGregor interview is aired later on today, here's a reminder of what's happening in Ireland. 

Over 300 migrant plantations have been forced into communities across the country. 

Ireland is unrecognizable.",,conor mcgregor interview aired later today heres reminder whats happening ireland migrant plantations forced communities across country ireland unrecognizable,-0.0666666666666666,0.3,Negative
Liv has 4 ults⁷,"“Jimin ah is jungkookie next to you?”
“Yea he is heh”

My heart   I’m so glad throughout all this, at least these two weren’t separated",,jimin jungkookie next yea heh heart glad throughout least two werent separated,0.0666666666666666,0.4666666666666666,Positive
tay⁷ echo. d-63,"when taehyung wrote ""it's no big deal"" for bts members ",,taehyung wrote big deal bts members,0.0,0.1,Neutral
,"princess - a grown man
wife - also a grown man
babygirl - another grown man",,princess grown man wife also grown man babygirl another grown man,0.0,0.0,Neutral
narsa.,Idk whats more funny... the pitch scene or the commentary ,,idk whats funny pitch scene commentary,0.25,1.0,Positive
Awesome Videos,She Got Problem Solving skills at a very Young Age ,,got problem solving skills young age,0.1,0.4,Positive
aki |,another boyfriend pic is born ,,another boyfriend pic born,0.0,0.0,Neutral
in love with yoongi (ia),"bare-faced yoongi  ., he doesn't need tons of makeup to look good, man is naturally beautiful!

he's prettier and more talented than those dozens.",,barefaced yoongi doesnt need tons makeup look good man naturally beautiful hes prettier talented dozens,0.75,0.8333333333333334,Positive
lia,me taking picture with seventeen member ads i found in mall,,taking picture seventeen member ads found mall,0.0,0.0,Neutral
Dudes Posting Their W’s,This guy was hunting and this incredible moment happened...,,guy hunting incredible moment happened,0.9,0.9,Positive
,"Notice how his fans are not name-calling or derogating her, the other BG fandom should take notes from carats tbh.",,notice fans namecalling derogating fandom take notes carats tbh,0.0,0.0,Neutral
𝑿𝒖,"THE DRAMAAAAAAA  : “younghee, how have u been? it’s been a while, right? i dont think dokyeom knows our relationship. we met when we were 22 years old, we’re now 29. it’s nice that u look happy. i dont think i should stay here for long, i’ll go now”

HWHSHWWHWH ",,dramaaaaaaa younghee right dont think dokyeom knows relationship met years old nice look happy dont think stay long ill hwhshwwhwh,0.2059523809523809,0.6892857142857144,Positive
elia,"Minghao is flying back to Korea now. Safe skies, my Haohao! ",,minghao flying back korea safe skies haohao,0.25,0.25,Positive
aki |,"the first part of every wonwoo's first episode was filmed in Manila, Philippines. as a filo carat, im crying rn! ",,first part every wonwoos first episode filmed manila philippines filo carat crying,0.0999999999999999,0.4222222222222222,Positive
Harshhh!,"Manager : You are a Hindu why did you opt for the Good Friday's holiday. 

Me :",,manager hindu opt good fridays holiday,0.7,0.6000000000000001,Positive
Riya kumari,Jai Shree Ram,,jai shree ram,0.0,0.0,Neutral
Sel⁷,"BTS WEVERSE POST JHOPE/HOSEOK + JIN/SEOKJIN COMMENT 250418

Hobi: Thank you and love you always   I'll go an cone back well!
ㅤ↳ SJ: hope where are you going again",,bts weverse post jhopehoseok jinseokjin comment hobi thank love always ill cone back well hope going,0.0,0.5333333333333333,Neutral
Riya kumari,Mahadev is everywhere,,mahadev everywhere,0.0,0.0,Neutral
Salman,"Mitchell Owen said, ""It's my first time in the PSL, and I couldn't have asked for a better welcome. From the incredible hospitality to the delicious food and genuine love, Peshawar Zalmi truly feels like a family"".",,mitchell owen said first time psl couldnt asked better welcome incredible hospitality delicious food genuine love peshawar zalmi truly feels like family,0.6214285714285713,0.6761904761904761,Positive
simi⁷,okay but this is such a sweet thing to say to someone ,,okay sweet thing say someone,0.425,0.575,Positive
Vice-President of India,"Article 142 has become a nuclear missile against Democratic forces available to judiciary 24x7.

We cannot have a situation where you direct the President of India and on what basis?

The only right you have under the Constitution is to interpret the Constitution under Article",,article become nuclear missile democratic forces available judiciary situation direct president india basis right constitution interpret constitution article,0.2619047619047619,0.4452380952380952,Positive
Dard_e_Dil,"Friend :- You want her back ...?
Me :- ",,friend want back,0.0,0.0,Neutral
Abhijit Majumder,"If you’re served coffee like this, how can you drink it?",,youre served coffee like drink,0.0,0.0,Neutral
Concerned Citizen,"“You have baby & you’re in a restaurant wearing that hat”

Imagine being this unhinged you get so triggered over a red hat that says Make America Great Again & cause a scene like this in a restaurant.

They are legit clinically insane.",,baby youre restaurant wearing hat imagine unhinged get triggered red hat says make america great cause scene like restaurant legit clinically insane,-0.0666666666666666,0.5833333333333334,Negative
vinter prince⁷,"remember when Taehyung saw an army had lipstick stain on her teeth, he covered her mouth so she can wipe it off without anyone noticing n later even checked it for her if the stain got removed",,remember taehyung saw army lipstick stain teeth covered mouth wipe without anyone noticing later even checked stain got removed,0.0,0.0,Neutral
rach⁷𐙚 is having the worst pcd ever,Tae making a whole breakfast for his soulmate and delivered it to him bc jimin stayed up all night,,tae making whole breakfast soulmate delivered jimin stayed night,0.2,0.4,Positive
feefil in #ColdplaySeoul,THE ASTRONAUT SOUNDCHECK #ColdplaySeoul,#ColdplaySeoul,astronaut soundcheck coldplayseoul,0.0,0.0,Neutral
Inevitable West,"BREAKING: Conor McGregor issues warning to the political elite:

""There’s nowhere for you to go. You will not destroy Ireland and be free to walk away. That is a fact.""

McGregor is not playing about.",,breaking conor mcgregor issues warning political elite theres nowhere destroy ireland free walk away fact mcgregor playing,0.0666666666666666,0.3,Positive
Benny Johnson,WATCH: MSNBC cut away from Oval Office coverage IMMEDIATELY as President Trump started reading details on MS-13 terrorist Kilmar Abrego Garcia.,,watch msnbc cut away oval office coverage immediately president trump started reading details terrorist kilmar abrego garcia,0.0,0.0,Neutral
Nick Sortor," ITALIAN PM MELONI: “I’m here to make a deal!”

“If I wouldn't think it's a reliable partner, I wouldn't be here.”

Italy is about to get a MUCH better trade deal with Trump than the EU, as Italy’s PM just travelled all the way here to speak with Trump

THAT’S how it’s done ",,italian meloni make deal wouldnt think reliable partner wouldnt italy get much better trade deal trump italys travelled way speak trump thats done,0.25,0.25,Positive
monk⁷,I'M CRYING ,,crying,-0.2,0.6,Negative
TheQuartering,"Jacob Couch Passed Away This Morning.

He succumbed to his injuries after a deranged black man attacked him with a hatched while sitting next to his wife waiting for the bus.

I have reached out to his wife.

Please Support His Wife & Children",,jacob couch passed away morning succumbed injuries deranged black man attacked hatched sitting next wife waiting bus reached wife please support wife children,-0.0833333333333333,0.2166666666666666,Negative
Mufaddal Vohra,TIM DAVID BECOMES THE FIRST PLAYER TO WIN POTM AWARD AFTER LOSING IN IPL 2025.  - The heroics of David. ,,tim david becomes first player win potm award losing ipl heroics david,0.525,0.3666666666666667,Positive
Rania⁷ ECHO,THIS IS CRACKING ME UP DKDOFOFLSLSORFIFKSMKSEKWKWKWKW,,cracking dkdofoflslsorfifksmksekwkwkwkw,0.0,0.0,Neutral
Liv has 4 ults⁷,"Jimin: I’ve never used perfume before 
Army who have been gleefully wearing the Jo malone orange blossom right now:",,jimin ive never used perfume army gleefully wearing malone orange blossom right,0.2857142857142857,0.5357142857142857,Positive
쿱정원,the sudden carats scream analysis. ,,sudden carats scream analysis,0.0,0.5,Neutral
ℓouise,MINGYU IMITATING FILO CARATS SQUEALS HAHAHAHAHAHAHAHA ,,mingyu imitating filo carats squeals hahahahahahahaha,0.0,0.0,Neutral
Inevitable West,"BREAKING: Giorgia Meloni defies the EU and arrives in the US to negotiate a trade deal on Italy’s terms

The EU is being dismantled.",,breaking giorgia meloni defies arrives negotiate trade deal italys terms dismantled,0.0,0.0,Neutral
jin files,ROCKSTAR JIN TOUR ,,rockstar jin tour,0.0,0.0,Neutral
jin files,MARK YOUR CALENDARS “ECHO” BY JIN OUT MAY 16TH!,,mark calendars echo jin may,0.0,0.0,Neutral
kim .ᐟ,PARA AKONG NAKIPAGMEET SA EX KO FOR CLOSURE PUTANGINA NAMAN,,para akong nakipagmeet closure putangina naman,0.0,0.0,Neutral
kkuma,sometimes the babiest baby is a grown 29 year old man and its okay,,sometimes babiest baby grown year old man okay,0.3,0.35,Positive
Baseball’s Greatest Moments,Pulled everything in my body just watching this ,,pulled everything body watching,0.0,0.0,Neutral
NUCLR GOLF,“Just put me down for an eagle bro.” (Via: ray_the_third/IG),,put eagle bro via raythethirdig,0.0,0.0,Neutral
Pjay⁷ •᷄ɞ•᷅ seeing Hobi,"If Jin can release two albums, countless content, and go on a tour within less than a year of his discharge, what's stopping you from working hard?",,jin release two albums countless content tour within less year discharge whats stopping working hard,-0.1527777777777778,0.3694444444444444,Negative
Tirupati Balaji,"Shri Venkateshwara Swami, The Eternal Protector of Devotees.",,shri venkateshwara swami eternal protector devotees,0.0,0.0,Neutral
Diloo Ki Dastan,"You should be able to read eyes, because a person speaks through his eyes only.",,able read eyes person speaks eyes,0.5,0.625,Positive
About Music,Jin is rumored to perform My Universe at Coldplay's concert.,,jin rumored perform universe coldplays concert,0.0,0.0,Neutral
JEONGHAN LOVERS CLUB,a face card that WOULD NEVER DECLINE ,,face card would never decline,0.0,0.0,Neutral
All for Jin,"Jin will make history as the FIRST Korean soloist to headline a solo concert at The O2 Arena in London!   

RUN SEOKJIN EP TOUR  #Jin_TOUR #RUNSEOKJIN_epTOUR","#Jin_TOUR, #RUNSEOKJIN_epTOUR",jin make history first korean soloist headline solo concert arena london run seokjin tour jintour runseokjineptour,0.25,0.3333333333333333,Positive
